dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
1,68.0,720,120,840,0.0,0.0,4,9.4,8.1
2,97.0,720,120,840,0.0,0.0,6,13.5,11.5
3,14.0,720,120,840,0.0,0.0,1,1.9,1.7
4,86.0,720,120,840,0.0,0.0,6,11.9,10.2
5,30.0,720,120,840,0.0,0.0,2,4.2,3.6
6,119.0,720,120,840,0.0,0.0,7,16.5,14.2
7,15.0,720,120,840,0.0,0.0,1,2.1,1.8
8,92.0,720,120,840,0.0,0.0,6,12.8,11.0
9,128.0,720,120,840,0.0,0.0,8,17.8,15.2
10,78.0,720,120,840,0.0,0.0,5,10.8,9.3
11,43.0,720,120,840,0.0,0.0,3,6.0,5.1
12,51.0,720,120,840,0.0,0.0,3,7.1,6.1
13,36.0,720,120,840,0.0,0.0,3,5.0,4.3
14,97.0,720,120,840,0.0,0.0,5,13.5,11.5
15,93.0,720,120,840,0.0,0.0,5,12.9,11.1
16,76.0,720,120,840,0.0,0.0,5,10.6,9.0
17,76.0,720,120,840,0.0,0.0,5,10.6,9.0
18,141.0,720,120,840,0.0,0.0,9,19.6,16.8
19,78.0,720,120,840,0.0,0.0,5,10.8,9.3
20,171.0,720,120,840,0.0,0.0,11,23.8,20.4
21,72.0,720,120,840,0.0,0.0,4,10.0,8.6
22,211.0,720,120,840,0.0,0.0,13,29.3,25.1
23,195.0,720,120,840,0.0,0.0,12,27.1,23.2
24,104.0,720,120,840,0.0,0.0,7,14.4,12.4
25,220.0,720,120,840,0.0,0.0,13,30.6,26.2
26,90.0,720,120,840,0.0,0.0,6,12.5,10.7
27,164.0,720,120,840,0.0,0.0,10,22.8,19.5
28,192.0,720,120,840,0.0,0.0,12,26.7,22.9
29,216.0,720,120,840,0.0,0.0,15,30.0,25.7
30,142.0,720,120,840,0.0,0.0,9,19.7,16.9
31,168.0,720,120,840,0.0,0.0,11,23.3,20.0
32,205.0,720,120,840,0.0,0.0,13,28.5,24.4
33,134.0,720,120,840,0.0,0.0,9,18.6,16.0
34,240.0,720,120,840,0.0,0.0,16,33.3,28.6
35,169.0,720,120,840,0.0,0.0,9,23.5,20.1
36,218.0,720,120,840,0.0,0.0,13,30.3,26.0
37,195.0,720,120,840,0.0,0.0,13,27.1,23.2
38,195.0,720,120,840,0.0,0.0,13,27.1,23.2
39,146.0,720,120,840,0.0,0.0,9,20.3,17.4
40,170.0,720,120,840,0.0,0.0,10,23.6,20.2
41,170.0,720,120,840,0.0,0.0,11,23.6,20.2
42,151.0,720,120,840,0.0,0.0,9,21.0,18.0
43,265.0,720,120,840,0.0,0.0,16,36.8,31.5
44,309.0,720,120,840,0.0,0.0,19,42.9,36.8
45,140.0,720,120,840,0.0,0.0,9,19.4,16.7
46,344.0,720,120,840,0.0,0.0,21,47.8,41.0
47,176.0,720,120,840,0.0,0.0,11,24.4,21.0
48,385.0,720,120,840,0.0,0.0,24,53.5,45.8
49,222.0,720,120,840,0.0,0.0,14,30.8,26.4
50,374.0,720,120,840,0.0,0.0,25,51.9,44.5
51,324.0,720,120,840,0.0,0.0,21,45.0,38.6
52,254.0,720,120,840,0.0,0.0,17,35.3,30.2
53,193.0,720,120,840,0.0,0.0,12,26.8,23.0
54,170.0,720,120,840,0.0,0.0,12,23.6,20.2
55,217.0,720,120,840,0.0,0.0,14,30.1,25.8
56,288.0,720,120,840,0.0,0.0,16,40.0,34.3
57,243.0,720,120,840,0.0,0.0,14,33.8,28.9
58,227.0,720,120,840,0.0,0.0,15,31.5,27.0
59,201.0,720,120,840,0.0,0.0,13,27.9,23.9
60,267.0,720,120,840,0.0,0.0,16,37.1,31.8
61,271.0,720,120,840,0.0,0.0,18,37.6,32.3
62,397.0,720,120,840,0.0,0.0,26,55.1,47.3
63,165.0,720,120,840,0.0,0.0,10,22.9,19.6
64,415.0,720,120,840,0.0,0.0,26,57.6,49.4
65,439.0,720,120,840,0.0,0.0,27,61.0,52.3
66,344.0,720,120,840,0.0,0.0,21,47.8,41.0
67,424.0,720,120,840,0.0,0.0,26,58.9,50.5
68,258.0,720,120,840,0.0,0.0,16,35.8,30.7
69,415.0,720,120,840,0.0,0.0,27,57.6,49.4
70,381.0,720,120,840,0.0,0.0,24,52.9,45.4
71,385.0,720,120,840,0.0,0.0,26,53.5,45.8
72,385.0,720,120,840,0.0,0.0,25,53.5,45.8
73,305.0,720,120,840,0.0,0.0,20,42.4,36.3
74,334.0,720,120,840,0.0,0.0,21,46.4,39.8
75,371.0,720,120,840,0.0,0.0,27,51.5,44.2
76,414.0,720,120,840,0.0,0.0,27,57.5,49.3
77,373.0,720,120,840,0.0,0.0,20,51.8,44.4
78,354.0,720,120,840,0.0,0.0,21,49.2,42.1
79,263.0,720,120,840,0.0,0.0,17,36.5,31.3
80,420.0,720,120,840,0.0,0.0,26,58.3,50.0
81,263.0,720,120,840,0.0,0.0,16,36.5,31.3
82,285.0,720,120,840,0.0,0.0,18,39.6,33.9
83,339.0,720,120,840,0.0,0.0,23,47.1,40.4
84,316.0,720,120,840,0.0,0.0,19,43.9,37.6
85,359.0,720,120,840,0.0,0.0,22,49.9,42.7
86,543.0,720,120,840,0.0,0.0,34,75.4,64.6
87,359.0,720,120,840,0.0,0.0,21,49.9,42.7
88,515.0,720,120,840,0.0,0.0,32,71.5,61.3
89,503.0,720,120,840,0.0,0.0,32,69.9,59.9
90,594.0,720,120,840,0.0,0.0,37,82.5,70.7
91,432.0,720,120,840,0.0,0.0,27,60.0,51.4
92,492.0,720,120,840,0.0,0.0,33,68.3,58.6
93,521.0,720,120,840,0.0,0.0,32,72.4,62.0
94,475.0,720,120,840,0.0,0.0,31,66.0,56.5
95,290.0,720,120,840,0.0,0.0,18,40.3,34.5
96,398.0,720,120,840,0.0,0.0,28,55.3,47.4
97,274.0,720,120,840,0.0,0.0,18,38.1,32.6
98,494.0,720,120,840,0.0,0.0,28,68.6,58.8
99,334.0,720,120,840,0.0,0.0,20,46.4,39.8
100,387.0,720,120,840,0.0,0.0,25,53.8,46.1
101,425.0,720,120,840,0.0,0.0,26,59.0,50.6
102,419.0,720,120,840,0.0,0.0,26,58.2,49.9
103,538.0,720,120,840,0.0,0.0,34,74.7,64.0
104,518.0,720,120,840,0.0,0.0,34,71.9,61.7
105,365.0,720,120,840,0.0,0.0,23,50.7,43.5
106,574.0,720,120,840,0.0,0.0,35,79.7,68.3
107,615.0,720,120,840,0.0,0.0,38,85.4,73.2
108,524.0,720,120,840,0.0,0.0,32,72.8,62.4
109,498.0,720,120,840,0.0,0.0,30,69.2,59.3
110,462.0,720,120,840,0.0,0.0,28,64.2,55.0
111,528.0,720,120,840,0.0,0.0,33,73.3,62.9
112,544.0,720,120,840,0.0,0.0,33,75.6,64.8
113,491.0,720,120,840,0.0,0.0,32,68.2,58.5
114,586.0,720,120,840,0.0,0.0,36,81.4,69.8
115,501.0,720,120,840,0.0,0.0,33,69.6,59.6
116,500.0,720,120,840,0.0,0.0,32,69.4,59.5
117,548.0,720,120,840,0.0,0.0,38,76.1,65.2
118,557.0,720,120,840,0.0,0.0,36,77.4,66.3
119,572.0,720,120,840,0.0,0.0,34,79.4,68.1
120,575.0,720,120,840,0.0,0.0,35,79.9,68.5
121,509.0,720,120,840,0.0,0.0,33,70.7,60.6
122,518.0,720,120,840,0.0,0.0,32,71.9,61.7
123,377.0,720,120,840,0.0,0.0,23,52.4,44.9
124,511.0,720,120,840,0.0,0.0,31,71.0,60.8
125,446.0,720,120,840,0.0,0.0,29,61.9,53.1
126,497.0,720,120,840,0.0,0.0,31,69.0,59.2
127,475.0,720,120,840,0.0,0.0,29,66.0,56.5
128,658.0,720,120,840,0.0,0.0,41,91.4,78.3
129,613.0,720,120,840,0.0,0.0,38,85.1,73.0
130,709.0,720,120,840,0.0,0.0,44,98.5,84.4
131,627.0,720,120,840,0.0,0.0,40,87.1,74.6
132,700.0,720,120,840,0.0,0.0,45,97.2,83.3
133,554.0,720,120,840,0.0,0.0,34,76.9,66.0
134,691.0,720,120,840,0.0,0.0,44,96.0,82.3
135,625.0,720,120,840,0.0,0.0,39,86.8,74.4
136,563.0,720,120,840,0.0,0.0,37,78.2,67.0
137,421.0,720,120,840,0.0,0.0,27,58.5,50.1
138,554.0,720,120,840,0.0,0.0,36,76.9,66.0
139,434.0,720,120,840,0.0,0.0,28,60.3,51.7
140,679.0,720,120,840,0.0,0.0,41,94.3,80.8
141,516.0,720,120,840,0.0,0.0,31,71.7,61.4
142,531.0,720,120,840,0.0,0.0,34,73.8,63.2
143,627.0,720,120,840,0.0,0.0,39,87.1,74.6
144,586.0,720,120,840,0.0,0.0,37,81.4,69.8
145,694.0,720,120,840,0.0,0.0,44,96.4,82.6
146,599.0,720,120,840,0.0,0.0,39,83.2,71.3
147,477.0,720,120,840,0.0,0.0,31,66.2,56.8
148,630.0,720,120,840,0.0,0.0,39,87.5,75.0
149,681.0,720,120,840,0.0,0.0,42,94.6,81.1
150,697.0,720,120,840,0.0,0.0,43,96.8,83.0
151,521.0,720,120,840,0.0,0.0,33,72.4,62.0
152,579.0,720,120,840,0.0,0.0,36,80.4,68.9
153,594.0,720,120,840,0.0,0.0,39,82.5,70.7
154,639.0,720,120,840,0.0,0.0,40,88.8,76.1
155,533.0,720,120,840,0.0,0.0,34,74.0,63.5
156,604.0,720,120,840,0.0,0.0,37,83.9,71.9
157,661.0,720,120,840,0.0,0.0,43,91.8,78.7
158,593.0,720,120,840,0.0,0.0,38,82.4,70.6
159,692.0,720,120,840,0.0,0.0,45,96.1,82.4
160,652.0,720,120,840,0.0,0.0,42,90.6,77.6
161,614.0,720,120,840,0.0,0.0,38,85.3,73.1
162,654.0,720,120,840,0.0,0.0,40,90.8,77.9
163,649.0,720,120,840,0.0,0.0,41,90.1,77.3
164,668.0,720,120,840,0.0,0.0,42,92.8,79.5
165,450.0,720,120,840,0.0,0.0,29,62.5,53.6
166,585.0,720,120,840,0.0,0.0,36,81.2,69.6
167,474.0,720,120,840,0.0,0.0,31,65.8,56.4
168,572.0,720,120,840,0.0,0.0,36,79.4,68.1
169,552.0,720,120,840,0.0,0.0,34,76.7,65.7
170,656.0,720,120,840,0.0,0.0,41,91.1,78.1
171,720.0,720,120,840,0.0,0.0,44,100.0,85.7
172,714.0,720,120,840,0.0,0.0,45,99.2,85.0
173,631.0,720,120,840,0.0,0.0,40,87.6,75.1
174,706.0,720,120,840,0.0,0.0,46,98.1,84.0
175,650.0,720,120,840,0.0,0.0,40,90.3,77.4
176,676.0,720,120,840,0.0,0.0,43,93.9,80.5
177,714.0,720,120,840,0.0,0.0,43,99.2,85.0
178,716.0,720,120,840,0.0,0.0,47,99.4,85.2
179,483.0,720,120,840,0.0,0.0,31,67.1,57.5
180,586.0,720,120,840,0.0,0.0,37,81.4,69.8
181,486.0,720,120,840,0.0,0.0,32,67.5,57.9
182,630.0,720,120,840,0.0,0.0,39,87.5,75.0
183,516.0,720,120,840,0.0,0.0,32,71.7,61.4
184,626.0,720,120,840,0.0,0.0,39,86.9,74.5
185,667.0,720,120,840,0.0,0.0,42,92.6,79.4
186,624.0,720,120,840,0.0,0.0,40,86.7,74.3
187,686.0,720,120,840,0.0,0.0,43,95.3,81.7
188,664.0,720,120,840,0.0,0.0,42,92.2,79.0
189,533.0,720,120,840,0.0,0.0,34,74.0,63.5
190,717.0,720,120,840,0.0,0.0,45,99.6,85.4
191,702.0,720,120,840,0.0,0.0,44,97.5,83.6
192,695.0,720,120,840,0.0,0.0,44,96.5,82.7
193,545.0,720,120,840,0.0,0.0,34,75.7,64.9
194,547.0,720,120,840,0.0,0.0,35,76.0,65.1
195,578.0,720,120,840,0.0,0.0,38,80.3,68.8
196,706.0,720,120,840,0.0,0.0,43,98.1,84.0
197,599.0,720,120,840,0.0,0.0,37,83.2,71.3
198,703.0,720,120,840,0.0,0.0,41,97.6,83.7
199,665.0,720,120,840,0.0,0.0,44,92.4,79.2
200,630.0,720,120,840,0.0,0.0,41,87.5,75.0
201,686.0,720,120,840,0.0,0.0,44,95.3,81.7
202,652.0,720,120,840,0.0,0.0,42,90.6,77.6
203,496.0,720,120,840,0.0,0.0,32,68.9,59.0
204,663.0,720,120,840,0.0,0.0,41,92.1,78.9
205,697.0,720,120,840,0.0,0.0,43,96.8,83.0
206,631.0,720,120,840,0.0,0.0,41,87.6,75.1
207,472.0,720,120,840,0.0,0.0,30,65.6,56.2
208,556.0,720,120,840,0.0,0.0,34,77.2,66.2
209,515.0,720,120,840,0.0,0.0,33,71.5,61.3
210,541.0,720,120,840,0.0,0.0,34,75.1,64.4
211,633.0,720,120,840,0.0,0.0,40,87.9,75.4
212,606.0,720,120,840,0.0,0.0,37,84.2,72.1
213,631.0,720,120,840,0.0,0.0,40,87.6,75.1
214,696.0,720,120,840,0.0,0.0,45,96.7,82.9
215,662.0,720,120,840,0.0,0.0,43,91.9,78.8
216,685.0,720,120,840,0.0,0.0,46,95.1,81.5
217,551.0,720,120,840,0.0,0.0,34,76.5,65.6
218,689.0,720,120,840,0.0,0.0,43,95.7,82.0
219,711.0,720,120,840,0.0,0.0,43,98.8,84.6
220,686.0,720,120,840,0.0,0.0,44,95.3,81.7
221,468.0,720,120,840,0.0,0.0,30,65.0,55.7
222,586.0,720,120,840,0.0,0.0,37,81.4,69.8
223,537.0,720,120,840,0.0,0.0,35,74.6,63.9
224,569.0,720,120,840,0.0,0.0,35,79.0,67.7
225,574.0,720,120,840,0.0,0.0,36,79.7,68.3
226,576.0,720,120,840,0.0,0.0,36,80.0,68.6
227,587.0,720,120,840,0.0,0.0,39,81.5,69.9
228,660.0,720,120,840,0.0,0.0,43,91.7,78.6
229,621.0,720,120,840,0.0,0.0,39,86.2,73.9
230,636.0,720,120,840,0.0,0.0,40,88.3,75.7
231,428.0,720,120,840,0.0,0.0,27,59.4,51.0
232,711.0,720,120,840,0.0,0.0,45,98.8,84.6
233,648.0,720,120,840,0.0,0.0,40,90.0,77.1
234,617.0,720,120,840,0.0,0.0,38,85.7,73.5
235,509.0,720,120,840,0.0,0.0,32,70.7,60.6
236,543.0,720,120,840,0.0,0.0,35,75.4,64.6
